Boundary ID,System Name,Boundary Type,System Type,Population Served,Connections,Census Population Allocated,Arsenic (ppb),Hexavalent Chromium (ppb),Cadmium (ppb),DBCP (ppb),Lead (ppb),Nitrate (ppm),Perchlorate (ppb),PCE (ppb) ,TCE (ppb),TCP (ppb),TTHMs (ppb),"Combination Radium 226, 228 (PCI/L)",Uraniuim (PCI/L)
62922,Township,Township,NA,NA,NA,1777,11.942,,0,0.064,2.355,2.344,0,0,0,0,0.316,,0.707
63056,Township,Township,NA,NA,NA,104,4.3,,0,0.51,0,3.45,0,0.271,0,,0,,
63059,Township,Township,NA,NA,NA,830,0.267,,0,,0,7.751,0,0,0,0,0,1.024,0.707
63062,Township,Township,NA,NA,NA,66,12,,0,,,4.671,,,,,,,
63145,Township,Township,NA,NA,NA,418,5.692,,0,0,1.733,7.383,0,0,0,0,0.35,,0.707
63146,Township,Township,NA,NA,NA,716,12.135,,0,,7,1.563,0,0,0,0,0,,
63158,Township,Township,NA,NA,NA,1113,0.75,,0,0,0,3.31,0,0,0,0,0,,8.709
63171,Township,Township,NA,NA,NA,572,2.2,,0,0.5,0,2.225,0,0,0,0,,,1.095
63174,Township,Township,NA,NA,NA,27,,,,,,1.414,,,,,,,
63176,Township,Township,NA,NA,NA,7601,0,,0,0,0,1.414,0,0,0,,0,,0.707
63178,Township,Township,NA,NA,NA,0,0,,0,0.5,0,1.929,0,0,0,,,,1.432
63182,Township,Township,NA,NA,NA,680,0.45,,0,0.4,0,5.988,0,0,0,0,0.643,,0.707
63187,Township,Township,NA,NA,NA,3083,0.722,2.34,0,0.099,0,11.2,0,0,0.002,0,0,,1.456
63198,Township,Township,NA,NA,NA,1485,3.907,,0,0.4,0,3.007,0,0,0,0,0,,0.707
63200,Township,Township,NA,NA,NA,790,1.447,,0,0,0,4.013,0,0,0,0,0,,
63201,Township,Township,NA,NA,NA,1408,30.126,,0,0.2,0,7.284,0,0,0,0,0,,0.707
63202,Township,Township,NA,NA,NA,42,,,,,,3.1,,,,,,,
63203,Township,Township,NA,NA,NA,106,0,,0,0,0,2.179,0,0,0,,0,,
63204,Township,Township,NA,NA,NA,3899,0.36,21,0,0.204,0,33.516,0,0,0,0,1.183,,0.707
63206,Township,Township,NA,NA,NA,974,0,0,0.1,0.4,0.036,5.263,0,0,0,0,0.076,,0.707
63207,Township,Township,NA,NA,NA,3767,5.874,0,0.039,0.2,18.543,2.861,0,0,0,0,0.018,,0.707
63208,Township,Township,NA,NA,NA,577,0.463,,0,0.4,0,3.561,0,0,0,0,4.143,,0.707
63211,Township,Township,NA,NA,NA,469,3.05,,0,0,0,16.734,0,0,0,,0,,
63212,Township,Township,NA,NA,NA,1344,3.479,18.69,0,0.059,0.203,25.848,0,0,0.001,0,0.452,0.5,1.763
63213,Township,Township,NA,NA,NA,16536,6.3,,0,0.508,0,1.614,0,0,0,,,,1.308
63214,Township,Township,NA,NA,NA,729,39.438,,,,,4.043,,,,,,,
63215,Township,Township,NA,NA,NA,1080,3.389,10.883,0,0,0,33.282,0,0,0,0,0.513,,4.369
63220,Township,Township,NA,NA,NA,123,,,,,,2.644,,,,,,,
